Variation #,Input,Memory Format
0,"Tensor<[1, 256, 1024]> input = ?",
1,"Tensor<[1, 16, 256, 256]> input = ?",
2,"Tensor<[1, 256, 16, 64]> input = ?",Optional[int]<> memory_format = torch.contiguous_format
3,"Tensor<[1, 256]> input = ?",Optional[int]<> memory_format = torch.contiguous_format
4,"Tensor<[1, 16, 32, 32]> input = ?",
5,"Tensor<[1, 32, 16, 96]> input = ?",Optional[int] memory_format = torch.contiguous_format
6,"Tensor<[1, 32, 1536]> input = ?",
7,"Tensor<[1, 12, 50, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
8,"Tensor<[12, 50, 50]> input = ?",
9,"Tensor<[1, 50, 12, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
10,"Tensor<[2, 8, 7, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
11,"Tensor<[16, 7, 7]> input = ?",
12,"Tensor<[2, 7, 8, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
13,"Tensor<[920, 8, 32]> input = ?",Optional[int] memory_format = torch.contiguous_format
14,"Tensor<[100, 8, 32]> input = ?",Optional[int] memory_format = torch.contiguous_format
15,"Tensor<[1, 25, 768]> input = ?",
16,"Tensor<[1, 12, 25, 25]> input = ?",
17,"Tensor<[1, 25, 12, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
18,"Tensor<[1, 25]> input = ?",Optional[int] memory_format = torch.contiguous_format
19,"Tensor<[1, 15, 512]> input = ?",
20,"Tensor<[1, 6, 15, 15]> input = ?",
21,"Tensor<[1, 15, 6, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
22,"Tensor<[1, 15, 1024]> input = ?",
23,"Tensor<[1, 1, 512]> input = ?",
24,"Tensor<[1, 6, 1, 1]> input = ?",
25,"Tensor<[1, 6, 1, 15]> input = ?",
26,"Tensor<[1, 1, 1024]> input = ?",
27,"Tensor<[1, 6, 1, 2]> input = ?",
28,"Tensor<[1, 6, 1, s0 + 1]> input = ?",
29,"Tensor<[1, 6, 1, 17]> input = ?",
30,"Tensor<[1, 7, 71, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
31,"Tensor<[1, 7, 4544]> input = ?",
32,"Tensor<[1, 1, 19200, 300]> input = ?",
33,"Tensor<[1, 19200, 64]> input = ?",
34,"Tensor<[1, 19200, 256]> input = ?",
35,"Tensor<[1, 64, 120, 160]> input = ?",Optional[int] memory_format = torch.contiguous_format
36,"Tensor<[1, 2, 4800, 300]> input = ?",
