Variation #,Input,Dim,Index
0,"Tensor<[1, 32, 16, 3, 96]> input = ?",int dim = 3,int index = 0
1,"Tensor<[1, 32, 16, 3, 96]> input = ?",int dim = 3,int index = 1
2,"Tensor<[1, 32, 16, 3, 96]> input = ?",int dim = 3,int index = 2
3,"Tensor<[1, 50, 768]> input = ?",int dim = 1,int index = 0
4,"Tensor<[1, 1, 23, 40]> input = ?",int dim = 0,int index = 0
5,"Tensor<[6, 1, 100, 92]> input = ?",int dim = 0,int index = -1
6,"Tensor<[6, 1, 100, 4]> input = ?",int dim = 0,int index = -1
7,"Tensor<[1, 25, 768]> input = ?",int dim = 1,int index = 0
8,"Tensor<[1, 2, 30, 40]> input = ?",int dim = 1,int index = 0
9,"Tensor<[1, 2, 30, 40]> input = ?",int dim = 1,int index = 1
10,"Tensor<[1, 2, 60, 80]> input = ?",int dim = 1,int index = 0
11,"Tensor<[1, 2, 60, 80]> input = ?",int dim = 1,int index = 1
12,"Tensor<[1, 2, 120, 160]> input = ?",int dim = 1,int index = 0
13,"Tensor<[1, 2, 120, 160]> input = ?",int dim = 1,int index = 1
14,"Tensor<[1, 45]> input = ?",int dim = 1,int index = -1
15,"Tensor<[1, 50]> input = ?",int dim = 1,int index = -1
16,"Tensor<[1, 3, 320, 320]> input = ?",int dim = 0,int index = 0
17,"Tensor<[3234, 4]> input = ?",int dim = 1,int index = 2
18,"Tensor<[3234, 4]> input = ?",int dim = 1,int index = 0
19,"Tensor<[3234, 4]> input = ?",int dim = 1,int index = 3
20,"Tensor<[3234, 4]> input = ?",int dim = 1,int index = 1
21,"Tensor<[1, 59]> input = ?",int dim = 1,int index = -1
22,"Tensor<[1, 1, 12, 16]> input = ?",int dim = 1,int index = 0
23,"Tensor<[1, 16]> input = ?",int dim = 1,int index = 0
24,"Tensor<[1, 12]> input = ?",int dim = 1,int index = 0
25,Tensor<[1]> input = ?,int dim = 0,int index = 0
26,"Tensor<[192, 2]> input = ?",int dim = 1,int index = 0
27,"Tensor<[1, 201, 768]> input = ?",int dim = 1,int index = 0
28,"Tensor<[1, 1, 51865]> input = ?",int dim = 1,int index = -1
29,"Tensor<[1, 4251, 192]> input = ?",int dim = 1,int index = 0
30,Tensor<[3]> input = ?,int dim = 0,int index = 0
31,Tensor<[3]> input = ?,int dim = 0,int index = 1
32,Tensor<[3]> input = ?,int dim = 0,int index = 2
33,"Tensor<[1, 5]> input = ?",int dim = 1,int index = -1
34,"Tensor<[1, 197, 768]> input = ?",int dim = 1,int index = 0
35,"Tensor<[1, 3, 224, 224]> input = ?",int dim = 1,int index = 0
36,"Tensor<[1, 3, 224, 224]> input = ?",int dim = 1,int index = 1
37,"Tensor<[1, 3, 224, 224]> input = ?",int dim = 1,int index = 2
