Variation #,Input,Dim,Half To Float
0,"Tensor<[1, 16, 256, 256]> input = ?",int<> dim = -1,bool<> half_to_float = False
1,"Tensor<[1, 16, 32, 32]> input = ?",int dim = -1,bool half_to_float = False
2,"Tensor<[12, 50, 50]> input = ?",int dim = -1,bool half_to_float = False
3,"Tensor<[16, 7, 7]> input = ?",int dim = -1,bool half_to_float = False
4,"Tensor<[8, 920, 920]> input = ?",int dim = -1,bool half_to_float = False
5,"Tensor<[8, 100, 100]> input = ?",int dim = -1,bool half_to_float = False
6,"Tensor<[8, 100, 920]> input = ?",int dim = -1,bool half_to_float = False
7,"Tensor<[1, 12, 25, 25]> input = ?",int dim = -1,bool half_to_float = False
8,"Tensor<[1, 6, 15, 15]> input = ?",int dim = -1,bool half_to_float = False
9,"Tensor<[1, 6, 1, 1]> input = ?",int dim = -1,bool half_to_float = False
10,"Tensor<[1, 6, 1, 15]> input = ?",int dim = -1,bool half_to_float = False
11,"Tensor<[1, 6, 1, 2]> input = ?",int dim = -1,bool half_to_float = False
12,"Tensor<[1, 6, 1, s0 + 1]> input = ?",int dim = -1,bool half_to_float = False
13,"Tensor<[1, 6, 1, 17]> input = ?",int dim = -1,bool half_to_float = False
14,"Tensor<[1, 71, 7, 7]> input = ?",int dim = -1,bool half_to_float = False
15,"Tensor<[1, 1, 19200, 300]> input = ?",int dim = -1,bool half_to_float = False
16,"Tensor<[1, 2, 4800, 300]> input = ?",int dim = -1,bool half_to_float = False
17,"Tensor<[1, 5, 1200, 300]> input = ?",int dim = -1,bool half_to_float = False
18,"Tensor<[1, 8, 300, 300]> input = ?",int dim = -1,bool half_to_float = False
19,"Tensor<[1, 12, 7, 7]> input = ?",int dim = -1,bool half_to_float = False
20,"Tensor<[1, 12, 45, 45]> input = ?",int dim = -1,bool half_to_float = False
21,"Tensor<[1, 12, 1, 46]> input = ?",int dim = -1,bool half_to_float = False
22,"Tensor<[1, 12, 1, s10 + 1]> input = ?",int dim = -1,bool half_to_float = False
23,"Tensor<[16, 59, 59]> input = ?",int dim = -1,bool half_to_float = False
24,"Tensor<[16, 1, 60]> input = ?",int dim = -1,bool half_to_float = False
